City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
70,Ushuaia,-54.8,-68.3,49.66,53,20,21.85,AR,2022-05-07 20:07:13,few clouds
71,Carnarvon,-24.8667,113.6333,64.47,82,77,5.75,AU,2022-05-07 20:07:13,broken clouds
72,Atuona,-9.8,-139.0333,78.4,73,19,16.2,PF,2022-05-07 20:07:15,few clouds
73,Rio Bueno,-40.3167,-72.9667,66.34,61,22,4.38,CL,2022-05-07 20:05:06,few clouds
74,Tucuman,-26.8241,-65.2226,78.8,38,40,5.75,AR,2022-05-07 20:07:16,scattered clouds
75,Acari,-15.4311,-74.6158,76.91,57,37,9.57,PE,2022-05-07 20:07:17,scattered clouds
76,Muros,42.7762,-9.0603,68.68,63,100,3.47,ES,2022-05-07 20:07:18,overcast clouds
77,Lebu,-37.6167,-73.65,57.99,75,6,6.53,CL,2022-05-07 20:07:20,clear sky
78,Pisco,-13.7,-76.2167,69.85,73,0,12.66,PE,2022-05-07 20:07:21,clear sky
79,Colac,-38.3333,143.5833,49.84,92,88,4.74,AU,2022-05-07 20:07:22,overcast clouds
80,Angoche,-16.2325,39.9086,73.81,81,25,5.48,MZ,2022-05-07 20:07:23,scattered clouds
81,Valparaiso,-33.0393,-71.6273,55.63,88,100,5.75,CL,2022-05-07 20:07:24,fog
82,Vostok,46.4856,135.8833,31.32,97,100,3.24,RU,2022-05-07 20:07:25,overcast clouds
83,Terney,45.0503,136.6092,39.74,78,70,9.48,RU,2022-05-07 20:07:25,broken clouds
84,Wajima,37.4,136.9,52.72,58,9,8.3,JP,2022-05-07 20:07:26,clear sky
85,Hasaki,35.7333,140.8333,61.2,90,44,14.09,JP,2022-05-07 20:07:27,scattered clouds
86,Thompson,55.7435,-97.8558,64.18,72,38,10.92,CA,2022-05-07 20:07:28,scattered clouds
87,Hithadhoo,-0.6,73.0833,83.89,77,12,15.37,MV,2022-05-07 20:07:29,few clouds
88,Imbituba,-28.24,-48.6703,65.34,67,0,3.06,BR,2022-05-07 20:07:30,clear sky
