City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,Lugovoy,42.9472,72.7644,63.95,50,11,5.12,KZ,2022-05-02 00:30:34
275,Egvekinot,66.3167,-179.1667,18.3,62,20,3.71,RU,2022-05-02 00:30:35
276,At-Bashi,41.1702,75.8106,49.75,42,14,6.91,KG,2022-05-02 00:30:36
277,Noshiro,40.2039,140.0242,50.83,53,7,12.64,JP,2022-05-02 00:30:37
278,Svetlyy,54.675,20.1347,39.25,90,11,2.93,RU,2022-05-02 00:30:38
279,Pervomayskiy,53.2485,40.2871,38.8,63,100,6.22,RU,2022-05-02 00:30:39
280,Puerto Baquerizo Moreno,-0.9,-89.6,72.43,87,9,6.51,EC,2022-05-02 00:30:40
281,Novoilinsk,51.6829,108.7143,63.41,33,95,5.03,RU,2022-05-02 00:30:41
282,Rio Gallegos,-51.6226,-69.2181,39.25,87,0,9.22,AR,2022-05-02 00:30:43
283,Tall Kayf,37.0833,41.0667,58.39,38,40,7.74,TR,2022-05-02 00:30:43
284,Novyy Urengoy,66.0833,76.6333,23.27,96,100,0.74,RU,2022-05-02 00:30:46
285,Carnarvon,-24.8667,113.6333,69.87,52,0,10.36,AU,2022-05-02 00:30:46
286,Zhigansk,66.7697,123.3711,18.93,82,100,22.08,RU,2022-05-02 00:30:48
287,Mount Gambier,-37.8333,140.7667,60.71,88,100,12.66,AU,2022-05-02 00:30:49
288,Shangrao,28.4532,117.9686,61.18,82,100,0.4,CN,2022-05-02 00:30:49
289,Kasempa,-13.4584,25.8338,54.18,79,0,5.77,ZM,2022-05-02 00:30:50
290,Opuwo,-18.0607,13.84,71.8,37,93,6.51,NA,2022-05-02 00:30:52
291,Richards Bay,-28.783,32.0377,61.36,81,0,6.93,ZA,2022-05-02 00:30:53
292,Avarua,-21.2078,-159.775,84.25,74,75,5.75,CK,2022-05-02 00:30:54
293,Port Hedland,-20.3167,118.5667,77.05,61,75,10.36,AU,2022-05-02 00:30:54
